GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2017100104,2017-10-01,2,6,38,LA,DAL,2,7,93,,1,,0,"(6:38) (SHOTGUN) 16-J.GOFF PASS SHORT LEFT TO 18-C.KUPP FOR 7 YARDS, TOUCHDOWN.",0,,,2017,7,SHOTGUN,PASS,0,1,0,1,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,7,OPP,0,,0,,0
2017100104,2017-10-01,2,6,46,LA,DAL,1,7,93,,0,,0,"(6:46) (SHOTGUN) 16-J.GOFF PASS INCOMPLETE SHORT RIGHT TO 17-R.WOODS. LOS ANGELES RAMS CHALLENGED THE INCOMPLETE PASS RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS. (TIMEOUT #3.)",0,,,2017,0,SHOTGUN,PASS,0,1,1,0,"SHORT RIGHT",0,1,0,,0,0,0,0,0,0,,7,OPP,0,,0,,0
2017100104,2017-10-01,2,7,30,LA,DAL,3,1,91,,1,,0,"(7:30) (SHOTGUN) 30-T.GURLEY UP THE MIDDLE TO DAL 7 FOR 2 YARDS (90-D.LAWRENCE).",0,,,2017,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,9,OPP,0,,0,,0
2017100104,2017-10-01,2,7,53,LA,DAL,2,11,81,,0,,0,"(7:53) (NO HUDDLE, SHOTGUN) 16-J.GOFF PASS SHORT RIGHT TO 18-C.KUPP TO DAL 9 FOR 10 YARDS (30-A.BROWN).",0,,,2017,10,"NO HUDDLE SHOTGUN",PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,19,OPP,0,,0,,0
2017100104,2017-10-01,2,8,29,LA,DAL,1,10,82,,0,,0,"(8:29) 30-T.GURLEY LEFT END TO DAL 19 FOR -1 YARDS (27-J.LEWIS).",0,,,2017,-1,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT END",18,OPP,0,,0,,0
2017100110,2017-10-01,2,0,4,LAC,PHI,4,3,90,,0,,0,"(:04) 9-Y.KOO 28 YARD FIELD GOAL IS GOOD, CENTER-47-M.WINDT, HOLDER-8-D.KASER.",0,,,2017,0,"FIELD GOAL","FIELD GOAL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,10,OPP,0,,0,,0
2017100110,2017-10-01,2,0,4,LAC,PHI,3,3,90,,0,,0,"(:04) (SHOTGUN) 17-P.RIVERS PASS INCOMPLETE SHORT RIGHT TO 13-K.ALLEN.",0,,,2017,0,SHOTGUN,PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,10,OPP,0,,0,,0
2017100110,2017-10-01,2,0,14,LAC,PHI,2,10,83,,0,,0,"(:14) (SHOTGUN) 17-P.RIVERS PASS SHORT RIGHT TO 16-TY.WILLIAMS PUSHED OB AT PHI 10 FOR 7 YARDS (58-J.HICKS, 21-P.ROBINSON).",0,,,2017,7,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,17,OPP,0,,0,,0
2017100110,2017-10-01,2,0,21,LAC,PHI,1,10,83,,0,,0,"(:21) (SHOTGUN) 17-P.RIVERS PASS INCOMPLETE DEEP LEFT TO 13-K.ALLEN.",0,,,2017,0,SHOTGUN,PASS,0,1,1,0,"DEEP LEFT",0,0,0,,0,0,0,0,0,0,,17,OPP,0,,0,,0
2017100110,2017-10-01,2,0,27,LAC,PHI,1,5,73,,1,,0,"(:27) (SHOTGUN) 17-P.RIVERS PASS SHORT LEFT TO 13-K.ALLEN TO PHI 17 FOR 10 YARDS (27-M.JENKINS).",0,,,2017,10,SHOTGUN,PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,27,OPP,0,,0,,0
